SampleID	Time_point	Tissue_type	State	Field	Sampling_date	ID	NewSampleID	OldID	Site	Main_plot	Sub_plot_A	Sub_plot_B	CA_Row	Location	Block	Bed	row	Year
Neg-Pool6-6-43	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-43											
Neg-Pool6-6-44	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-44											
Neg-Pool6-6-45	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-45											
Neg-Pool6-6-46	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-46											
Neg-Pool6-6-47	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-47											
Neg-Pool6-6-48	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-48											
Neg-Pool6-6-49	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-49											
Neg-Pool6-6-50	Neg_Control	Neg_Control	Neg_Control				Neg-Pool6-6-50											
Neg-Pool2-D09-REDO	Pos_Control	Pos_Control	Pos_Control				Neg-Pool2-D09-REDO											
Pos-Pool1-D01	Pos_Control	Pos_Control	Pos_Control				Pos-Pool1-D01											
Pos-Pool1-D02	Pos_Control	Pos_Control	Pos_Control				Pos-Pool1-D02											
Pos-Pool1-D03	Pos_Control	Pos_Control	Pos_Control				Pos-Pool1-D03											
Pos-Pool1-D04	Pos_Control	Pos_Control	Pos_Control				Pos-Pool1-D04											
Pos-Pool2-D05	Pos_Control	Pos_Control	Pos_Control				Pos-Pool2-D05											
Pos-Pool2-D05-2	Pos_Control	Pos_Control	Pos_Control				Pos-Pool2-D05-2											
Pos-Pool2-D06	Pos_Control	Pos_Control	Pos_Control				Pos-Pool2-D06											
Pos-Pool2-D07	Pos_Control	Pos_Control	Pos_Control				Pos-Pool2-D07											
Pos-Pool2-D08	Pos_Control	Pos_Control	Pos_Control				Pos-Pool2-D08											
Pos-Pool2-D11-3	Pos_Control	Pos_Control	Pos_Control				Pos-Pool2-D11-3											
Pos-Pool3-D03-2	Pos_Control	Pos_Control	Pos_Control				Pos-Pool3-D03-2											
Pos-Pool3-D09-2	Pos_Control	Pos_Control	Pos_Control				Pos-Pool3-D09-2											
Pos-Pool3-D11	Pos_Control	Pos_Control	Pos_Control				Pos-Pool3-D11											
Pos-Pool3-D11-4	Pos_Control	Pos_Control	Pos_Control				Pos-Pool3-D11-4											
Pos-Pool4-D02_2	Pos_Control	Pos_Control	Pos_Control				Pos-Pool4-D02_2											
Pos-Pool4-D05-3	Pos_Control	Pos_Control	Pos_Control				Pos-Pool4-D05-3											
Pos-Pool4-D06-2	Pos_Control	Pos_Control	Pos_Control				Pos-Pool4-D06-2											
Pos-Pool4-D09	Pos_Control	Pos_Control	Pos_Control				Pos-Pool4-D09											
Pos-Pool4-D10	Pos_Control	Pos_Control	Pos_Control				Pos-Pool4-D10											
Pos-Pool4-D11-2	Pos_Control	Pos_Control	Pos_Control				Pos-Pool4-D11-2											
Pos-Pool5-5-1	Pos_Control	Pos_Control	Pos_Control				Pos-Pool5-5-1											
Pos-Pool5-5-10	Pos_Control	Pos_Control	Pos_Control				Pos-Pool5-5-10											
Pos-Pool5-5-11	Pos_Control	Pos_Control	Pos_Control				Pos-Pool5-5-11											
Pos-Pool5-5-12	Pos_Control	Pos_Control	Pos_Control				Pos-Pool5-5-12											
Pos-Pool5-5-2	Pos_Control	Pos_Control	Pos_Control				Pos-Pool5-5-2											
Pos-Pool5-5-3	Pos_Control	Pos_Control	Pos_Control				Pos-Pool5-5-3											
Pos-Pool5-5-4	Pos_Control	Pos_Control	Pos_Control				Pos-Pool5-5-4											
Pos-Pool5-5-5	Pos_Control	Pos_Control	Pos_Control				Pos-Pool5-5-5											
Pos-Pool5-5-6	Pos_Control	Pos_Control	Pos_Control				Pos-Pool5-5-6											
Pos-Pool5-5-7	Pos_Control	Pos_Control	Pos_Control				Pos-Pool5-5-7											
Pos-Pool5-5-8	Pos_Control	Pos_Control	Pos_Control				Pos-Pool5-5-8											
Pos-Pool5-5-9	Pos_Control	Pos_Control	Pos_Control				Pos-Pool5-5-9											
Pos-Pool6-6-01	Pos_Control	Pos_Control	Pos_Control				Pos-Pool6-6-01											
Pos-Pool6-6-02	Pos_Control	Pos_Control	Pos_Control				Pos-Pool6-6-02											
Pos-Pool6-6-03	Pos_Control	Pos_Control	Pos_Control				Pos-Pool6-6-03											
Pos-Pool6-6-04	Pos_Control	Pos_Control	Pos_Control				Pos-Pool6-6-04											
Pos-Pool6-6-05	Pos_Control	Pos_Control	Pos_Control				Pos-Pool6-6-05											
Pos-Pool6-6-06	Pos_Control	Pos_Control	Pos_Control				Pos-Pool6-6-06											
Pos-Pool6-6-07	Pos_Control	Pos_Control	Pos_Control				Pos-Pool6-6-07											
Pos-Pool6-6-08	Pos_Control	Pos_Control	Pos_Control				Pos-Pool6-6-08											
CCCR1R1	T0	Rhizosphere	California	CA_Field_1		CCC1	Z-T0-CCC1		CA1	control	control	control	1					2021
CCCR2R1	T0	Rhizosphere	California	CA_Field_1		CCC2	Z-T0-CCC2		CA1	control	control	control	2					2021
CCCR3R1	T0	Rhizosphere	California	CA_Field_1		CCC3	Z-T0-CCC3		CA1	control	control	control	3					2021
CCCR4R1	T0	Rhizosphere	California	CA_Field_1		CCC4	Z-T0-CCC4		CA1	control	control	control	4					2021
CCHR1R2	T0	Rhizosphere	California	CA_Field_1		CCH1	Z-T0-CCH1		CA1	control	control	humic	1					2021
CCHR2R1	T0	Rhizosphere	California	CA_Field_1		CCH2	Z-T0-CCH2		CA1	control	control	humic	2					2021
CCHR3R1	T0	Rhizosphere	California	CA_Field_1		CCH3	Z-T0-CCH3		CA1	control	control	humic	3					2021
CCHR4R1	T0	Rhizosphere	California	CA_Field_1		CCH4	Z-T0-CCH4		CA1	control	control	humic	4					2021
CGCR1R1	T0	Rhizosphere	California	CA_Field_1		CGC1	Z-T0-CGC1		CA1	control	Glyphosate	control	1					2021
CGCR2R1	T0	Rhizosphere	California	CA_Field_1		CGC2	Z-T0-CGC2		CA1	control	Glyphosate	control	2					2021
CGCR3R1	T0	Rhizosphere	California	CA_Field_1		CGC3	Z-T0-CGC3		CA1	control	Glyphosate	control	3					2021
CGCR4R1	T0	Rhizosphere	California	CA_Field_1		CGC4	Z-T0-CGC4		CA1	control	Glyphosate	control	4					2021
L-T0-CCC1	T0	Leaves	California	CA_Field_1	6/1/21	CCC1	L-T0-CCC1	CCC1	CA1	control	control	control	1					2021
L-T0-CCC2	T0	Leaves	California	CA_Field_1	6/1/21	CCC2	L-T0-CCC2	CCC2	CA1	control	control	control	2					2021
L-T0-CCC3	T0	Leaves	California	CA_Field_1	6/1/21	CCC3	L-T0-CCC3	CCC3	CA1	control	control	control	3					2021
L-T0-CCC4	T0	Leaves	California	CA_Field_1	6/1/21	CCC4	L-T0-CCC4	CCC4	CA1	control	control	control	4					2021
L-T0-CCH1	T0	Leaves	California	CA_Field_1	6/1/21	CCH1	L-T0-CCH1	CCH1	CA1	control	control	humic	1					2021
L-T0-CCH2	T0	Leaves	California	CA_Field_1	6/1/21	CCH2	L-T0-CCH2	CCH2	CA1	control	control	humic	2					2021
L-T0-CCH3	T0	Leaves	California	CA_Field_1	6/1/21	CCH3	L-T0-CCH3	CCH3	CA1	control	control	humic	3					2021
L-T0-CCH4	T0	Leaves	California	CA_Field_1	6/1/21	CCH4	L-T0-CCH4	CCH4	CA1	control	control	humic	4					2021
L-T0-CGC1	T0	Leaves	California	CA_Field_1	6/1/21	CGC1	L-T0-CGC1	CGC1	CA1	control	Glyphosate	control	1					2021
L-T0-CGC2	T0	Leaves	California	CA_Field_1	6/1/21	CGC2	L-T0-CGC2	CGC2	CA1	control	Glyphosate	control	2					2021
L-T0-CGC3	T0	Leaves	California	CA_Field_1	6/1/21	CGC3	L-T0-CGC3	CGC3	CA1	control	Glyphosate	control	3					2021
L-T0-CGC4	T0	Leaves	California	CA_Field_1	6/1/21	CGC4	L-T0-CGC4	CGC4	CA1	control	Glyphosate	control	4					2021
L-T0-CGH1	T0	Leaves	California	CA_Field_1	6/1/21	CGH1	L-T0-CGH1	CGH1	CA1	control	Glyphosate	humic	1					2021
L-T0-CGH2	T0	Leaves	California	CA_Field_1	6/1/21	CGH2	L-T0-CGH2	CGH2	CA1	control	Glyphosate	humic	2					2021
L-T0-CGH3	T0	Leaves	California	CA_Field_1	6/1/21	CGH3	L-T0-CGH3	CGH3	CA1	control	Glyphosate	humic	3					2021
L-T0-CGH4	T0	Leaves	California	CA_Field_1	6/1/21	CGH4	L-T0-CGH4	CGH4	CA1	control	Glyphosate	humic	4					2021
L-T0-MCC1	T0	Leaves	California	CA_Field_1	6/1/21	MCC1	L-T0-MCC1	MCC1	CA1	mulch	control	control	1					2021
L-T0-MCC2	T0	Leaves	California	CA_Field_1	6/1/21	MCC2	L-T0-MCC2	MCC2	CA1	mulch	control	control	2					2021
L-T0-MCC3	T0	Leaves	California	CA_Field_1	6/1/21	MCC3	L-T0-MCC3	MCC3	CA1	mulch	control	control	3					2021
L-T0-MCC4	T0	Leaves	California	CA_Field_1	6/1/21	MCC4	L-T0-MCC4	MCC4	CA1	mulch	control	control	4					2021
L-T0-MCH1	T0	Leaves	California	CA_Field_1	6/1/21	MCH1	L-T0-MCH1	MCH1	CA1	mulch	control	humic	1					2021
